"","player_name","Total.Runs","batavg","batstrike","highesScore"
"278","NK Patel",121,20.17,97.58,57
"279","NL McCullum",26,13,113.04,15
"280","NLTC Perera",423,14.1,130.15,40
"281","NM Coulter-Nile",38,4.75,95,9
"282","NS Naik",23,11.5,69.7,22
"283","NV Ojha",1474,16.75,114.62,94
"284","OA Shah",506,23,124.94,76
"285","P Amarnath",0,0,0,0
"286","P Awana",5,1,35.71,4
"287","P Dharmani",0,0,0,0
"288","P Dogra",127,10.58,90.07,41
"289","P Kumar",332,6.04,105.73,34
"290","P Negi",209,11,122.94,36
"291","P Parameswaran",1,0.5,33.33,1
"292","P Prasanth",0,0,0,0
"293","P Sahu",19,9.5,146.15,18
"294","P Suyal",0,0,0,0
"295","PA Patel",1927,19.27,109.99,81
"296","PA Reddy",164,16.4,98.2,42
"297","Pankaj Singh",7,1.4,58.33,4
"298","Parvez Rasool",17,4.25,85,10
"299","PC Valthaty",501,21.78,115.97,120
"300","PD Collingwood",203,29,127.67,75
"301","PJ Cummins",0,0,0,0
"302","PJ Sangwan",22,2.44,68.75,6
"303","PM Sarvesh Kumar",1,1,50,1
"304","PP Chawla",513,8.02,111.28,24
"305","PP Ojha",16,0.84,35.56,3
"306","PR Shah",92,10.22,95.83,29
"307","PSP Handscomb",6,6,50,6
"308","PV Tambe",18,3,46.15,7
"309","Q de Kock",726,27.92,128.27,108
"310","R Ashwin",231,6.42,93.9,29
"311","R Bhatia",326,7.09,119.41,26
"312","R Bishnoi",19,6.33,111.76,18
"313","R Dhawan",153,9.56,113.33,25
"314","R Dravid",2170,26.46,113.14,75
"315","R McLaren",159,12.23,89.33,51
"316","R Ninan",3,3,50,3
"317","R Rampaul",51,7.29,98.08,23
"318","R Sathish",270,11.25,114.41,27
"319","R Sharma",66,3.47,85.71,14
"320","R Shukla",19,4.75,82.61,14
"321","R Tewatia",16,16,123.08,16
"322","R Vinay Kumar",304,7.41,106.67,26
"323","RA Jadeja",1574,16.06,117.55,48
"324","RA Shaikh",0,0,0,0
"325","RE Levi",83,13.83,112.16,50
"326","RE van der Merwe",159,10.6,110.42,35
"327","RG More",2,2,100,2
"328","RG Sharma",3874,28.28,129.31,109
"329","RJ Harris",117,5.57,104.46,17
"330","RJ Peterson",32,6.4,100,16
"331","RJ Quiney",103,14.71,98.1,51
"332","RN ten Doeschate",326,15.52,136.97,70
"333","RP Singh",52,1.86,66.67,10
"334","RR Bhatkal",0,0,0,0
"335","RR Bose",0,0,0,0
"336","RR Pant",198,19.8,127.74,69
"337","RR Powar",67,7.44,104.69,28
"338","RR Raje",20,4,111.11,11
"339","RR Rossouw",53,10.6,103.92,24
"340","RR Sarwan",73,18.25,93.59,31
"341","RS Bopara",531,24.14,113.46,84
"342","RS Gavaskar",2,2,25,2
"343","RS Sodhi",4,4,200,4
"344","RT Ponting",91,10.11,70.54,28
"345","RV Gomez",50,5.56,94.34,26
"346","RV Pawar",0,0,0,0
"347","RV Uthappa",3390,26.08,124.59,83
"348","RW Price",0,0,0,0
"349","S Anirudha",136,11.33,112.4,64
"350","S Aravind",27,6.75,142.11,14
"351","S Badree",0,0,0,0
"352","S Badrinath",1441,22.17,115.74,71
"353","S Chanderpaul",25,8.33,75.76,16
"354","S Dhawan",3082,27.52,117.54,95
"355","S Gopal",14,4.67,51.85,11
"356","S Kaul",9,4.5,81.82,7
"357","S Kaushik",0,0,0,0
"358","S Ladda",0,0,0,0
"359","S Nadeem",24,1.85,38.71,6
"360","S Narwal",37,9.25,127.59,23
"361","S Rana",91,11.38,110.98,19
"362","S Randiv",2,2,50,2
"363","S Sohal",368,18.4,118.33,62
"364","S Sreesanth",34,2.83,59.65,15
"365","S Sriram",31,15.5,81.58,27
"366","S Tyagi",3,3,75,3
"367","S Vidyut",145,18.12,126.09,54
"368","SA Abbott",15,7.5,115.38,14
"369","SA Asnodkar",423,22.26,120.17,60
"370","SA Yadav",503,14.37,128.97,60
"371","Sachin Baby",122,17.43,137.08,33
"372","Salman Butt",193,27.57,112.21,73
"373","Sandeep Sharma",19,2.11,65.52,7
"374","SB Bangar",49,7,84.48,17
"375","SB Jakati",28,5.6,93.33,13
"376","SB Joshi",6,3,37.5,3
"377","SB Styris",131,13.1,97.76,36
"378","SB Wagh",2,1,66.67,2
"379","SC Ganguly",1349,24.09,101.73,91
"380","SD Chitnis",99,12.38,107.61,38
"381","SE Bond",1,1,50,1
"382","SE Marsh",2225,36.48,129.74,115
"383","Shahid Afridi",81,9,176.09,33
"384","Shakib Al Hasan",499,16.1,124.75,66
"385","Shivam Sharma",5,2.5,166.67,4
"386","Shoaib Ahmed",1,0.33,16.67,1
"387","Shoaib Akhtar",2,2,25,2
"388","Shoaib Malik",52,10.4,106.12,24
"389","SJ Srivastava",5,1.25,100,3
"390","SK Raina",4106,28.71,134.23,100
"391","SK Trivedi",42,3,68.85,9
"392","SK Warne",198,7.33,90.41,34
"393","SL Malinga",81,4.5,81,17
"394","SM Boland",0,0,0,0
"395","SM Harwood",9,4.5,64.29,6
"396","SM Katich",237,21.55,124.08,75
"397","SM Pollock",147,18.38,126.72,33
"398","SMSM Senanayake",10,2.5,58.82,7
"399","SN Khan",177,16.09,171.84,45
"400","SN Thakur",7,7,116.67,7
"401","Sohail Tanvir",36,7.2,116.13,13
"402","SP Fleming",196,19.6,114.62,45
"403","SP Goswami",241,15.06,92.69,52
"404","SP Narine",47,2.94,81.03,13
"405","SPD Smith",1241,26.4,133.01,101
"406","SR Tendulkar",2329,29.86,114,100
"407","SR Watson",2553,28.05,136.6,104
"408","SS Iyer",469,23.45,115.52,83
"409","SS Mundhe",0,0,0,0
"410","SS Sarkar",0,0,0,0
"411","SS Shaikh",6,6,85.71,6
"412","SS Tiwary",1218,19.33,114.47,61
"413","ST Jayasuriya",768,25.6,134.03,114
"414","STR Binny",688,14.04,126.94,48
"415","Sunny Gupta",0,0,0,0
"416","Sunny Singh",43,8.6,138.71,20
"417","SV Samson",1040,21.67,116.85,76
"418","SW Billings",88,22,133.33,54
"419","SW Tait",23,4.6,88.46,11
"420","Swapnil Singh",0,0,0,0
"421","T Henderson",11,5.5,68.75,11
"422","T Kohli",11,3.67,55,7
"423","T Mishra",0,0,0,0
"424","T Shamsi",0,0,0,0
"425","T Taibu",31,10.33,119.23,15
"426","T Thushara",12,3,63.16,8
"427","TA Boult",0,0,0,0
"428","TD Paine",10,5,34.48,8
"429","TG Southee",47,6.71,142.42,25
"430","TL Suman",676,17.33,115.16,78
"431","TM Dilshan",1159,23.18,110.7,76
"432","TM Head",54,18,128.57,37
"433","TM Srivastava",8,2.67,72.73,7
"434","TP Sudhindra",0,0,0,0
"435","TR Birt",75,15,127.12,27
"436","U Kaul",0,0,0,0
"437","UA Birla",7,7,46.67,7
"438","UBT Chand",300,15,95.54,58
"439","Umar Gul",39,9.75,205.26,24
"440","UT Khawaja",127,21.17,120.95,30
"441","UT Yadav",133,5.32,109.02,24
"442","V Kohli",4105,31.34,126.81,113
"443","V Pratap Singh",0,0,0,0
"444","V Sehwag",2728,26.23,148.83,122
"445","V Shankar",0,0,0,0
"446","VH Zol",29,14.5,111.54,16
"447","VR Aaron",42,6,93.33,17
"448","VRV Singh",4,2,133.33,4
"449","VS Malik",7,3.5,100,6
"450","VS Yeligati",2,2,100,2
"451","VVS Laxman",282,14.1,104.06,52
"452","VY Mahesh",15,3,53.57,6
"453","W Jaffer",130,16.25,100.78,50
"454","WA Mota",56,7,73.68,25
"455","WD Parnell",63,5.25,78.75,16
"456","WP Saha",1323,19.75,129.07,115
"457","WPUJC Vaas",81,7.36,110.96,20
"458","X Thalaivan Sargunam",10,10,58.82,10
"459","Y Gnaneswara Rao",19,19,105.56,19
"460","Y Nagar",285,14.25,105.17,44
"461","Y Venugopal Rao",985,18.94,113.87,71
"462","YA Abdulla",0,0,0,0
"463","Yashpal Singh",47,11.75,70.15,20
"464","YK Pathan",2779,22.78,142.29,100
"465","Younis Khan",3,3,42.86,3
"466","YS Chahal",2,1,66.67,1
"467","Yuvraj Singh",2339,22.28,125.62,83
"468","YV Takawale",192,19.2,104.92,45
"469","Z Khan",113,4.71,88.28,23
